id,device_id,ts_ms,timestamp,temp,humidity,ldr_raw,light,acc_x,acc_y,acc_z,magnitude
320,10B61B34E3EC,1763474113544,2025-11-18 19:25:13,25.0,52.0,858,20.9524,0.995605,-0.105713,-0.064209,1.00326
319,10B61B34E3EC,1763474103531,2025-11-18 19:25:03,25.3,52.0,881,21.514,0.985352,0.01123,-0.167969,0.999629
318,10B61B34E3EC,1763474093794,2025-11-18 19:24:53,25.3,52.0,1081,26.398,0.745605,-0.107666,0.683838,1.01742
317,10B61B34E3EC,1763474083786,2025-11-18 19:24:43,25.3,52.0,1045,25.5189,0.985596,-0.079346,-0.133057,0.997697
316,10B61B34E3EC,1763474074388,2025-11-18 19:24:34,25.3,52.0,1051,25.6654,1.00317,-0.081055,-0.136719,1.01569
315,10B61B34E3EC,1763474064377,2025-11-18 19:24:24,25.3,52.0,1074,26.2271,0.987549,-0.079102,-0.133301,0.99964
314,10B61B34E3EC,1763473864155,2025-11-18 19:21:04,25.3,52.0,926,22.6129,1.00073,-0.097656,-0.03833,1.00622
313,10B61B34E3EC,1763473854150,2025-11-18 19:20:54,25.3,53.0,916,22.3687,0.998535,-0.099365,-0.038818,1.00422
312,10B61B34E3EC,1763473844712,2025-11-18 19:20:44,25.3,52.0,788,19.243,0.995361,-0.101807,-0.034668,1.00115
311,10B61B34E3EC,1763473834731,2025-11-18 19:20:34,25.3,53.0,1232,30.0855,0.998779,-0.101074,-0.035889,1.00452
310,10B61B34E3EC,1763473825127,2025-11-18 19:20:25,25.3,53.0,1179,28.7912,1.00073,-0.098145,-0.028564,1.00594
309,10B61B34E3EC,1763473815089,2025-11-18 19:20:15,25.3,53.0,1259,30.7448,0.994873,-0.102783,-0.031738,1.00067
308,10B61B34E3EC,1763473805637,2025-11-18 19:20:05,25.3,52.0,1185,28.9377,1.00049,-0.10376,-0.031738,1.00635
307,10B61B34E3EC,1763473795626,2025-11-18 19:19:55,25.3,52.0,1245,30.4029,0.997803,-0.102295,-0.044678,1.00403
306,10B61B34E3EC,1763473785838,2025-11-18 19:19:45,25.3,52.0,1185,28.9377,0.99292,-0.09668,-0.031494,0.998113
305,10B61B34E3EC,1763473775764,2025-11-18 19:19:35,25.3,52.0,1248,30.4762,1.0022,0.016113,0.248779,1.03274
304,10B61B34E3EC,1763473766191,2025-11-18 19:19:26,25.3,52.0,752,18.3639,0.466553,-0.136475,0.919678,1.04024
303,10B61B34E3EC,1763473756153,2025-11-18 19:19:16,25.3,52.0,1261,30.7937,0.994873,-0.092529,-0.052979,1.00057
302,10B61B34E3EC,1763473746582,2025-11-18 19:19:06,25.3,52.0,1231,30.0611,1.0022,-0.095459,-0.052246,1.00809
301,10B61B34E3EC,1763473736675,2025-11-18 19:18:56,25.3,52.0,1283,31.3309,0.997559,-0.08374,-0.05957,1.00284
300,10B61B34E3EC,1763473537046,2025-11-18 19:15:37,24.8,52.0,1217,29.7192,1.00098,-0.085938,-0.056885,1.00627
299,10B61B34E3EC,1763473526943,2025-11-18 19:15:26,24.8,52.0,1259,30.7448,0.998535,-0.088379,-0.056885,1.00405
298,10B61B34E3EC,1763473517502,2025-11-18 19:15:17,24.8,52.0,1261,30.7937,0.996338,-0.093506,-0.062988,1.0027
297,10B61B34E3EC,1763473507493,2025-11-18 19:15:07,24.8,52.0,1264,30.8669,0.994141,-0.088623,-0.056885,0.999703
296,10B61B34E3EC,1763473497717,2025-11-18 19:14:57,24.8,52.0,1237,30.2076,0.996094,-0.091553,-0.058838,1.00202
295,10B61B34E3EC,1763473487803,2025-11-18 19:14:47,24.8,53.0,1200,29.304,0.991943,-0.097412,-0.048584,0.997898
294,10B61B34E3EC,1763473477091,2025-11-18 19:14:37,24.8,53.0,1183,28.8889,0.994873,-0.099365,-0.053955,1.00128
293,10B61B34E3EC,1763473467075,2025-11-18 19:14:27,24.8,52.0,1202,29.3529,1.0,-0.095215,-0.0625,1.00647
292,10B61B34E3EC,1763473456518,2025-11-18 19:14:16,24.8,52.0,1218,29.7436,0.997559,-0.096924,-0.063965,1.0043
291,10B61B34E3EC,1763473446515,2025-11-18 19:14:06,24.8,53.0,1231,30.0611,0.992676,-0.096924,-0.056152,0.998976
290,10B61B34E3EC,1763473436225,2025-11-18 19:13:56,24.8,53.0,1211,29.5726,0.996826,-0.098633,-0.062988,1.00367
289,10B61B34E3EC,1763473426199,2025-11-18 19:13:46,24.8,52.0,1223,29.8657,0.998047,-0.09375,-0.066162,1.00462
288,10B61B34E3EC,1763473415733,2025-11-18 19:13:35,24.8,52.0,1225,29.9145,1.00317,-0.097412,-0.064697,1.00997
